Dataset,Cond_ratio,Ridge,k,Learn_A,Epoch,Acc,Std.,Time
Cora,0.25,1e-3,1,0,79,77.62,0.19,1.249
Cora,0.25,1e-3,1,1,186,75.80,0.46,1.721
Cora,0.25,1e-3,2,0,83,81.10,0.77,1.188
Cora,0.25,1e-3,2,1,104,75.66,2.63,0.984
Cora,0.25,1e-3,3,0,79,82.04,0.51,1.101
Cora,0.25,1e-3,3,1,195,70.08,4.16,1.811
Cora,0.25,1e-3,4,0,91,81.86,0.36,1.150
Cora,0.25,1e-3,4,1,139,59.00,15.53,1.299
Cora,0.25,1e-3,5,0,89,81.64,0.62,0.666
Cora,0.25,1e-3,5,1,177,47.46,18.90,1.596
Cora,0.25,1e-2,1,0,69,77.94,0.36,1.081
Cora,0.25,1e-2,1,1,188,77.30,0.39,1.656
Cora,0.25,1e-2,2,0,84,81.56,0.84,1.069
Cora,0.25,1e-2,2,1,182,76.20,2.72,1.569
Cora,0.25,1e-2,3,0,98,82.46,0.28,1.255
Cora,0.25,1e-2,3,1,186,74.26,2.69,1.394
Cora,0.25,1e-2,4,0,114,82.14,0.38,1.470
Cora,0.25,1e-2,4,1,128,61.76,5.76,1.182
Cora,0.25,1e-2,5,0,98,82.04,0.30,0.766
Cora,0.25,1e-2,5,1,194,42.92,15.14,1.533
Cora,0.25,1e-1,1,0,84,77.88,0.93,1.181
Cora,0.25,1e-1,1,1,154,77.20,1.04,1.184
Cora,0.25,1e-1,2,0,81,81.46,0.43,1.259
Cora,0.25,1e-1,2,1,179,75.94,1.26,1.361
Cora,0.25,1e-1,3,0,118,81.60,0.72,1.559
Cora,0.25,1e-1,3,1,199,71.70,3.44,1.610
Cora,0.25,1e-1,4,0,96,82.24,0.52,1.125
Cora,0.25,1e-1,4,1,195,50.04,10.47,1.464
Cora,0.25,1e-1,5,0,92,82.00,0.81,0.791
Cora,0.25,1e-1,5,1,199,36.34,10.01,1.488
Cora,0.25,5e-1,1,0,92,77.78,0.80,1.271
Cora,0.25,5e-1,1,1,190,76.98,1.98,1.485
Cora,0.25,5e-1,2,0,100,81.56,1.34,1.331
Cora,0.25,5e-1,2,1,165,78.80,1.01,1.288
Cora,0.25,5e-1,3,0,101,82.22,0.68,1.152
Cora,0.25,5e-1,3,1,200,63.20,5.54,1.412
Cora,0.25,5e-1,4,0,101,82.16,1.28,1.249
Cora,0.25,5e-1,4,1,200,35.36,9.35,1.500
Cora,0.25,5e-1,5,0,113,82.22,0.99,0.909
Cora,0.25,5e-1,5,1,158,23.90,5.66,1.219
Cora,0.25,1e0,1,0,110,78.02,0.64,1.553
Cora,0.25,1e0,1,1,165,77.02,0.78,1.312
Cora,0.25,1e0,2,0,111,81.22,1.61,1.454
Cora,0.25,1e0,2,1,188,78.30,1.48,1.371
Cora,0.25,1e0,3,0,112,82.38,0.94,1.442
Cora,0.25,1e0,3,1,195,57.20,7.73,1.402
Cora,0.25,1e0,4,0,110,81.82,1.58,1.642
Cora,0.25,1e0,4,1,160,24.98,5.78,1.257
Cora,0.25,1e0,5,0,120,82.30,1.11,0.913
Cora,0.25,1e0,5,1,161,23.90,5.74,1.254
Cora,0.25,5,1,0,136,77.70,0.78,1.731
Cora,0.25,5,1,1,198,74.90,1.28,1.454
Cora,0.25,5,2,0,172,82.06,1.34,1.996
Cora,0.25,5,2,1,200,59.46,6.04,1.444
Cora,0.25,5,3,0,193,81.68,0.99,1.782
Cora,0.25,5,3,1,153,23.00,4.72,1.224
Cora,0.25,5,4,0,163,81.80,0.83,1.981
Cora,0.25,5,4,1,163,23.62,5.71,1.398
Cora,0.25,5,5,0,170,82.20,0.62,1.201
Cora,0.25,5,5,1,165,23.36,6.06,1.424
Cora,0.25,1e1,1,0,182,76.60,2.25,1.990
Cora,0.25,1e1,1,1,193,70.44,4.21,1.559
Cora,0.25,1e1,2,0,175,80.62,1.71,1.851
Cora,0.25,1e1,2,1,197,35.24,5.26,1.453
Cora,0.25,1e1,3,0,200,80.22,1.45,2.210
Cora,0.25,1e1,3,1,147,22.62,4.47,1.231
Cora,0.25,1e1,4,0,172,80.76,2.05,2.023
Cora,0.25,1e1,4,1,169,23.68,5.90,1.417
Cora,0.25,1e1,5,0,162,80.12,1.23,1.136
Cora,0.25,1e1,5,1,169,23.30,6.10,1.346
Cora,0.5,1e-3,1,0,67,77.54,0.57,1.043
Cora,0.5,1e-3,1,1,175,76.56,0.62,1.307
Cora,0.5,1e-3,2,0,56,81.10,0.60,1.029
Cora,0.5,1e-3,2,1,81,77.74,0.89,0.798
Cora,0.5,1e-3,3,0,114,82.00,0.48,1.478
Cora,0.5,1e-3,3,1,171,78.18,1.75,1.315
Cora,0.5,1e-3,4,0,70,82.04,0.71,1.304
Cora,0.5,1e-3,4,1,186,74.86,4.68,1.473
Cora,0.5,1e-3,5,0,123,81.74,0.44,1.014
Cora,0.5,1e-3,5,1,198,46.94,3.94,1.471
Cora,0.5,1e-2,1,0,73,78.04,0.34,1.078
Cora,0.5,1e-2,1,1,139,77.02,0.80,1.232
Cora,0.5,1e-2,2,0,90,81.88,0.68,1.336
Cora,0.5,1e-2,2,1,80,77.58,2.53,0.805
Cora,0.5,1e-2,3,0,79,82.06,0.28,1.211
Cora,0.5,1e-2,3,1,199,78.32,3.94,1.579
Cora,0.5,1e-2,4,0,99,82.30,0.75,1.556
Cora,0.5,1e-2,4,1,198,66.82,6.63,1.549
Cora,0.5,1e-2,5,0,88,81.74,0.60,0.808
Cora,0.5,1e-2,5,1,198,21.90,3.05,1.432
Cora,0.5,1e-1,1,0,81,77.70,0.45,1.203
Cora,0.5,1e-1,1,1,134,76.30,0.78,1.168
Cora,0.5,1e-1,2,0,93,81.64,0.90,1.378
Cora,0.5,1e-1,2,1,152,77.80,1.82,1.272
Cora,0.5,1e-1,3,0,120,81.94,0.22,1.604
Cora,0.5,1e-1,3,1,190,76.28,3.16,1.478
Cora,0.5,1e-1,4,0,107,82.04,0.93,1.481
Cora,0.5,1e-1,4,1,173,33.86,6.45,1.230
Cora,0.5,1e-1,5,0,85,81.60,0.76,0.762
Cora,0.5,1e-1,5,1,181,26.08,1.59,1.358
Cora,0.5,5e-1,1,0,85,77.94,0.57,1.425
Cora,0.5,5e-1,1,1,129,76.52,1.19,1.085
Cora,0.5,5e-1,2,0,90,81.40,0.73,1.372
Cora,0.5,5e-1,2,1,200,79.34,0.40,1.541
Cora,0.5,5e-1,3,0,97,81.92,1.05,1.327
Cora,0.5,5e-1,3,1,198,58.48,11.98,1.606
Cora,0.5,5e-1,4,0,89,82.56,0.70,1.174
Cora,0.5,5e-1,4,1,190,22.82,1.91,1.488
Cora,0.5,5e-1,5,0,95,81.74,1.35,0.858
Cora,0.5,5e-1,5,1,199,20.56,1.80,1.595
Cora,0.5,1e0,1,0,97,77.88,0.88,1.416
Cora,0.5,1e0,1,1,128,76.68,0.70,1.170
Cora,0.5,1e0,2,0,106,81.58,0.37,1.426
Cora,0.5,1e0,2,1,195,80.46,0.93,1.435
Cora,0.5,1e0,3,0,101,82.36,0.92,1.329
Cora,0.5,1e0,3,1,198,50.02,11.37,1.592
Cora,0.5,1e0,4,0,109,81.98,1.19,1.509
Cora,0.5,1e0,4,1,199,21.32,1.21,1.371
Cora,0.5,1e0,5,0,103,82.02,0.55,0.934
Cora,0.5,1e0,5,1,195,20.74,1.27,1.563
Cora,0.5,5,1,0,146,77.46,1.00,1.597
Cora,0.5,5,1,1,181,76.58,2.07,1.465
Cora,0.5,5,2,0,128,81.26,1.22,1.714
