Dataset,Model,Cond_ratio,Learn_A,k,Epoch,Mean_Acc,Std.,Best_Acc
Citeseer,GCN,0.25,0,1,20,0.2312,0.0018,0.263
Citeseer,GCN,0.25,0,2,20,0.2316,0.0015,0.268
Citeseer,GCN,0.25,0,3,20,0.2316,0.0021,0.273
Citeseer,GCN,0.25,0,4,20,0.2318,0.0016,0.275
Citeseer,GCN,0.25,0,5,22,0.2324,0.0044,0.279
Citeseer,GCN,0.5,0,1,119,0.2868,0.0098,0.315
Citeseer,GCN,0.5,0,2,115,0.2912,0.0143,0.323
Citeseer,GCN,0.5,0,3,118,0.2944,0.0118,0.322
Citeseer,GCN,0.5,0,4,115,0.2974,0.0154,0.321
Citeseer,GCN,0.5,0,5,117,0.3008,0.0132,0.322
Citeseer,GCN,1,0,1,14,0.2066,0.0200,0.236
Citeseer,GCN,1,0,2,14,0.2066,0.0179,0.237
Citeseer,GCN,1,0,3,14,0.2080,0.0163,0.237
Citeseer,GCN,1,0,4,14,0.2092,0.0185,0.239
Citeseer,GCN,1,0,5,14,0.2100,0.0192,0.238
Citeseer,SGC,0.25,0,1,400,0.2508,0.0025,0.255
Citeseer,SGC,0.25,0,2,400,0.2588,0.0013,0.261
Citeseer,SGC,0.25,0,3,398,0.2634,0.0021,0.267
Citeseer,SGC,0.25,0,4,399,0.2650,0.0019,0.269
Citeseer,SGC,0.25,0,5,400,0.2692,0.0034,0.273
Citeseer,SGC,0.5,0,1,123,0.2852,0.0023,0.288
Citeseer,SGC,0.5,0,2,123,0.2922,0.0022,0.295
Citeseer,SGC,0.5,0,3,128,0.2920,0.0021,0.296
Citeseer,SGC,0.5,0,4,128,0.2944,0.0030,0.297
Citeseer,SGC,0.5,0,5,126,0.2962,0.0024,0.3
Citeseer,SGC,1,0,1,8,0.2210,0.0083,0.231
Citeseer,SGC,1,0,2,8,0.2226,0.0053,0.231
Citeseer,SGC,1,0,3,8,0.2226,0.0042,0.231
Citeseer,SGC,1,0,4,8,0.2230,0.0043,0.231
Citeseer,SGC,1,0,5,8,0.2226,0.0049,0.231
Citeseer,GAT,0.25,0,1,3,0.2314,0.0005,0.232
Citeseer,GAT,0.25,0,2,3,0.2314,0.0005,0.232
Citeseer,GAT,0.25,0,3,3,0.2314,0.0005,0.232
Citeseer,GAT,0.25,0,4,3,0.2314,0.0005,0.268
Citeseer,GAT,0.25,0,5,3,0.2314,0.0005,0.235
Citeseer,GAT,0.5,0,1,67,0.2490,0.0437,0.343
Citeseer,GAT,0.5,0,2,25,0.2458,0.0552,0.319
Citeseer,GAT,0.5,0,3,25,0.2464,0.0567,0.315
Citeseer,GAT,0.5,0,4,67,0.2524,0.0511,0.317
Citeseer,GAT,0.5,0,5,25,0.2482,0.0587,0.318
Citeseer,GAT,1,0,1,1,0.2258,0.0078,0.24
Citeseer,GAT,1,0,2,1,0.2260,0.0073,0.235
Citeseer,GAT,1,0,3,1,0.2266,0.0066,0.235
Citeseer,GAT,1,0,4,1,0.2264,0.0070,0.233
Citeseer,GAT,1,0,5,1,0.2262,0.0075,0.233
Citeseer,SAGE,0.25,0,1,112,0.2840,0.0153,0.332
Citeseer,SAGE,0.25,0,2,25,0.2870,0.0220,0.345
Citeseer,SAGE,0.25,0,3,25,0.2876,0.0206,0.338
Citeseer,SAGE,0.25,0,4,25,0.2894,0.0220,0.342
Citeseer,SAGE,0.25,0,5,25,0.2912,0.0225,0.342
Citeseer,SAGE,0.5,0,1,260,0.5484,0.0418,0.573
Citeseer,SAGE,0.5,0,2,233,0.5578,0.0397,0.584
Citeseer,SAGE,0.5,0,3,259,0.5612,0.0410,0.587
Citeseer,SAGE,0.5,0,4,356,0.5638,0.0387,0.589
Citeseer,SAGE,0.5,0,5,377,0.5642,0.0395,0.59
Citeseer,SAGE,1,0,1,390,0.4944,0.0332,0.529
Citeseer,SAGE,1,0,2,400,0.5162,0.0351,0.545
Citeseer,SAGE,1,0,3,379,0.5176,0.0307,0.546
Citeseer,SAGE,1,0,4,373,0.5214,0.0357,0.558
Citeseer,SAGE,1,0,5,320,0.5220,0.0362,0.563
Citeseer,APPNP,0.25,0,1,47,0.4490,0.0455,0.545
Citeseer,APPNP,0.25,0,2,48,0.4524,0.0476,0.555
Citeseer,APPNP,0.25,0,3,50,0.4542,0.0451,0.562
Citeseer,APPNP,0.25,0,4,47,0.4548,0.0554,0.563
Citeseer,APPNP,0.25,0,5,47,0.4560,0.0556,0.564
Citeseer,APPNP,0.5,0,1,378,0.5106,0.0549,0.575
Citeseer,APPNP,0.5,0,2,397,0.5140,0.0551,0.58
Citeseer,APPNP,0.5,0,3,397,0.5172,0.0552,0.582
Citeseer,APPNP,0.5,0,4,392,0.5186,0.0562,0.583
Citeseer,APPNP,0.5,0,5,380,0.5198,0.0565,0.584
Citeseer,APPNP,1,0,1,131,0.4776,0.0021,0.482
Citeseer,APPNP,1,0,2,268,0.4840,0.0021,0.488
Citeseer,APPNP,1,0,3,225,0.4840,0.0027,0.49
Citeseer,APPNP,1,0,4,123,0.4846,0.0015,0.488
Citeseer,APPNP,1,0,5,217,0.4858,0.0013,0.49
Citeseer,Cheby,0.25,0,1,399,0.4430,0.0478,0.498
Citeseer,Cheby,0.25,0,2,399,0.4524,0.0516,0.527
Citeseer,Cheby,0.25,0,3,399,0.4532,0.0485,0.523
Citeseer,Cheby,0.25,0,4,400,0.4562,0.0508,0.533
Citeseer,Cheby,0.25,0,5,399,0.4594,0.0528,0.539
Citeseer,Cheby,0.5,0,1,398,0.5794,0.0134,0.597
Citeseer,Cheby,0.5,0,2,390,0.5984,0.0166,0.617
Citeseer,Cheby,0.5,0,3,400,0.6010,0.0162,0.619
Citeseer,Cheby,0.5,0,4,395,0.6002,0.0181,0.621
Citeseer,Cheby,0.5,0,5,400,0.6022,0.0176,0.623
Citeseer,Cheby,1,0,1,382,0.6188,0.0312,0.64
Citeseer,Cheby,1,0,2,398,0.6356,0.0303,0.659
Citeseer,Cheby,1,0,3,368,0.6376,0.0314,0.667
Citeseer,Cheby,1,0,4,389,0.6394,0.0321,0.67
Citeseer,Cheby,1,0,5,400,0.6408,0.0323,0.67
Citeseer,MLP,0.25,0,1,335,0.5772,0.0126,0.62
Citeseer,MLP,0.25,0,2,303,0.5880,0.0137,0.637
Citeseer,MLP,0.25,0,3,335,0.5890,0.0139,0.645
Citeseer,MLP,0.25,0,4,335,0.5904,0.0155,0.65
Citeseer,MLP,0.25,0,5,348,0.5902,0.0146,0.653
Citeseer,MLP,0.5,0,1,340,0.6164,0.0354,0.656
Citeseer,MLP,0.5,0,2,340,0.6314,0.0368,0.675
Citeseer,MLP,0.5,0,3,340,0.6358,0.0376,0.684
Citeseer,MLP,0.5,0,4,340,0.6392,0.0374,0.682
Citeseer,MLP,0.5,0,5,340,0.6384,0.0381,0.682
Citeseer,MLP,1,0,1,388,0.6502,0.0028,0.656
Citeseer,MLP,1,0,2,297,0.6706,0.0042,0.677
Citeseer,MLP,1,0,3,390,0.6728,0.0026,0.677
Citeseer,MLP,1,0,4,390,0.6782,0.0029,0.681
Citeseer,MLP,1,0,5,387,0.6792,0.0033,0.684
