Dataset,Model,Cond_ratio,Learn_A,k,Epoch,Mean_Acc,Std.,Best_Acc
Cora,GCN,0.25,0,1,400,0.4878,0.0622,0.601
Cora,GCN,0.25,1,1,25,0.7042,0.0591,0.781
Cora,GCN,0.25,0,2,399,0.4906,0.0616,0.612
Cora,GCN,0.25,1,2,28,0.7002,0.0627,0.783
Cora,GCN,0.25,0,3,400,0.4876,0.0707,0.613
Cora,GCN,0.25,1,3,24,0.6950,0.0667,0.786
Cora,GCN,0.25,0,4,399,0.4816,0.0744,0.615
Cora,GCN,0.25,1,4,27,0.6884,0.0685,0.782
Cora,GCN,0.25,0,5,400,0.4718,0.0816,0.616
Cora,GCN,0.25,1,5,26,0.6812,0.0731,0.786
Cora,GCN,0.5,0,1,383,0.7088,0.0396,0.771
Cora,GCN,0.5,1,1,44,0.6850,0.0775,0.758
Cora,GCN,0.5,0,2,388,0.7100,0.0392,0.776
Cora,GCN,0.5,1,2,40,0.6898,0.0820,0.763
Cora,GCN,0.5,0,3,392,0.7044,0.0409,0.779
Cora,GCN,0.5,1,3,39,0.6872,0.0802,0.763
Cora,GCN,0.5,0,4,395,0.6950,0.0429,0.785
Cora,GCN,0.5,1,4,38,0.6852,0.0832,0.766
Cora,GCN,0.5,0,5,389,0.6896,0.0440,0.783
Cora,GCN,0.5,1,5,39,0.6808,0.0827,0.771
Cora,GCN,1.0,0,1,170,0.7958,0.0106,0.808
Cora,GCN,1.0,1,1,186,0.7836,0.0066,0.797
Cora,GCN,1.0,0,2,173,0.7972,0.0117,0.815
Cora,GCN,1.0,1,2,186,0.7838,0.0054,0.797
Cora,GCN,1.0,0,3,170,0.7956,0.0118,0.814
Cora,GCN,1.0,1,3,190,0.7862,0.0066,0.796
Cora,GCN,1.0,0,4,221,0.7980,0.0057,0.814
Cora,GCN,1.0,1,4,127,0.7822,0.0097,0.797
Cora,GCN,1.0,0,5,218,0.7984,0.0044,0.813
Cora,GCN,1.0,1,5,188,0.7780,0.0073,0.792
Cora,SGC,0.25,0,1,57,0.5904,0.0423,0.635
Cora,SGC,0.25,1,1,192,0.6922,0.0047,0.705
Cora,SGC,0.25,0,2,78,0.5950,0.0269,0.644
Cora,SGC,0.25,1,2,189,0.6890,0.0060,0.701
Cora,SGC,0.25,0,3,73,0.5978,0.0334,0.646
Cora,SGC,0.25,1,3,83,0.6820,0.0118,0.695
Cora,SGC,0.25,0,4,74,0.5980,0.0332,0.645
Cora,SGC,0.25,1,4,83,0.6776,0.0129,0.693
Cora,SGC,0.25,0,5,61,0.5972,0.0517,0.644
Cora,SGC,0.25,1,5,83,0.6744,0.0150,0.691
Cora,SGC,0.5,0,1,264,0.6524,0.0067,0.667
Cora,SGC,0.5,1,1,314,0.6088,0.0046,0.65
Cora,SGC,0.5,0,2,319,0.6424,0.0075,0.668
Cora,SGC,0.5,1,2,296,0.6016,0.0053,0.655
Cora,SGC,0.5,0,3,325,0.6376,0.0054,0.657
Cora,SGC,0.5,1,3,388,0.5944,0.0036,0.651
Cora,SGC,0.5,0,4,369,0.6312,0.0043,0.65
Cora,SGC,0.5,1,4,387,0.5902,0.0041,0.65
Cora,SGC,0.5,0,5,400,0.6334,0.0041,0.638
Cora,SGC,0.5,1,5,395,0.5872,0.0038,0.644
Cora,SGC,1.0,0,1,327,0.7748,0.0011,0.779
Cora,SGC,1.0,1,1,94,0.7652,0.0033,0.771
Cora,SGC,1.0,0,2,380,0.7830,0.0037,0.79
Cora,SGC,1.0,1,2,381,0.7708,0.0022,0.779
Cora,SGC,1.0,0,3,303,0.7892,0.0013,0.791
Cora,SGC,1.0,1,3,389,0.7750,0.0042,0.781
Cora,SGC,1.0,0,4,317,0.7904,0.0023,0.794
Cora,SGC,1.0,1,4,400,0.7748,0.0023,0.779
Cora,SGC,1.0,0,5,275,0.7888,0.0013,0.792
Cora,SGC,1.0,1,5,391,0.7728,0.0026,0.782
Cora,GAT,0.25,0,1,1,0.1434,0.0173,0.204
Cora,GAT,0.25,1,1,4,0.7558,0.0364,0.786
Cora,GAT,0.25,0,2,1,0.1422,0.0150,0.201
Cora,GAT,0.25,1,2,4,0.7522,0.0442,0.793
Cora,GAT,0.25,0,3,1,0.1416,0.0127,0.204
Cora,GAT,0.25,1,3,4,0.7446,0.0467,0.788
Cora,GAT,0.25,0,4,1,0.1394,0.0080,0.203
Cora,GAT,0.25,1,4,286,0.7388,0.0198,0.783
Cora,GAT,0.25,0,5,1,0.1384,0.0073,0.203
Cora,GAT,0.25,1,5,289,0.7392,0.0195,0.784
Cora,GAT,0.5,0,1,395,0.7602,0.0112,0.784
Cora,GAT,0.5,1,1,10,0.7262,0.0223,0.758
Cora,GAT,0.5,0,2,382,0.7602,0.0116,0.777
Cora,GAT,0.5,1,2,33,0.7154,0.0141,0.752
Cora,GAT,0.5,0,3,396,0.7606,0.0093,0.774
Cora,GAT,0.5,1,3,35,0.7072,0.0149,0.754
Cora,GAT,0.5,0,4,384,0.7600,0.0100,0.773
Cora,GAT,0.5,1,4,35,0.6984,0.0158,0.753
Cora,GAT,0.5,0,5,399,0.7564,0.0086,0.767
Cora,GAT,0.5,1,5,34,0.6886,0.0204,0.743
Cora,GAT,1.0,0,1,14,0.7914,0.0142,0.816
Cora,GAT,1.0,1,1,27,0.7824,0.0084,0.799
Cora,GAT,1.0,0,2,14,0.7936,0.0174,0.814
Cora,GAT,1.0,1,2,32,0.7880,0.0117,0.811
Cora,GAT,1.0,0,3,13,0.7956,0.0169,0.816
Cora,GAT,1.0,1,3,27,0.7860,0.0097,0.804
Cora,GAT,1.0,0,4,13,0.7954,0.0159,0.817
Cora,GAT,1.0,1,4,26,0.7828,0.0093,0.802
Cora,GAT,1.0,0,5,13,0.7950,0.0151,0.808
Cora,GAT,1.0,1,5,18,0.7782,0.0087,0.794
Cora,SAGE,0.25,0,1,319,0.4602,0.0824,0.516
Cora,SAGE,0.25,1,1,223,0.5898,0.0064,0.624
Cora,SAGE,0.25,0,2,319,0.4594,0.0812,0.515
Cora,SAGE,0.25,1,2,237,0.5846,0.0066,0.614
Cora,SAGE,0.25,0,3,319,0.4646,0.0818,0.524
Cora,SAGE,0.25,1,3,121,0.5780,0.0108,0.61
Cora,SAGE,0.25,0,4,319,0.4638,0.0804,0.525
Cora,SAGE,0.25,1,4,122,0.5728,0.0099,0.606
Cora,SAGE,0.25,0,5,319,0.4630,0.0798,0.529
Cora,SAGE,0.25,1,5,73,0.5680,0.0106,0.604
Cora,SAGE,0.5,0,1,294,0.6416,0.0079,0.653
Cora,SAGE,0.5,1,1,383,0.6422,0.0137,0.659
Cora,SAGE,0.5,0,2,390,0.6410,0.0089,0.652
Cora,SAGE,0.5,1,2,390,0.6390,0.0168,0.658
Cora,SAGE,0.5,0,3,396,0.6388,0.0093,0.654
Cora,SAGE,0.5,1,3,379,0.6366,0.0155,0.657
Cora,SAGE,0.5,0,4,381,0.6320,0.0106,0.658
Cora,SAGE,0.5,1,4,383,0.6328,0.0153,0.654
Cora,SAGE,0.5,0,5,323,0.6262,0.0122,0.66
Cora,SAGE,0.5,1,5,371,0.6286,0.0172,0.648
Cora,SAGE,1.0,0,1,139,0.7386,0.0655,0.796
Cora,SAGE,1.0,1,1,271,0.7456,0.0492,0.783
Cora,SAGE,1.0,0,2,131,0.7414,0.0630,0.808
Cora,SAGE,1.0,1,2,196,0.7458,0.0464,0.784
