Dataset,Cond_Size,Ridge,k,Learn_A,Norm,Epoch,Acc,Std.
ogbn-arxiv,90,1e-3,1,0,0,118,64.00,0.33
ogbn-arxiv,90,1e-3,1,0,1,93,63.66,0.05
ogbn-arxiv,90,1e-3,1,1,0,176,63.66,0.13
ogbn-arxiv,90,1e-3,1,1,1,184,63.26,0.19
ogbn-arxiv,90,1e-3,2,0,0,118,65.24,0.38
ogbn-arxiv,90,1e-3,2,0,1,186,65.31,0.24
ogbn-arxiv,90,1e-3,2,1,0,101,64.26,0.64
ogbn-arxiv,90,1e-3,2,1,1,193,64.23,1.07
ogbn-arxiv,90,1e-3,3,0,0,178,64.90,0.18
ogbn-arxiv,90,1e-3,3,0,1,188,64.84,0.14
ogbn-arxiv,90,1e-3,3,1,0,197,62.47,0.62
ogbn-arxiv,90,1e-3,3,1,1,189,60.79,0.12
ogbn-arxiv,90,1e-3,4,0,0,178,64.38,0.09
ogbn-arxiv,90,1e-3,4,0,1,186,64.24,0.29
ogbn-arxiv,90,1e-3,4,1,0,192,59.59,0.66
ogbn-arxiv,90,1e-3,4,1,1,171,58.39,0.50
ogbn-arxiv,90,1e-2,1,0,0,97,64.04,0.28
ogbn-arxiv,90,1e-2,1,0,1,199,63.67,0.16
ogbn-arxiv,90,1e-2,1,1,0,156,64.06,0.03
ogbn-arxiv,90,1e-2,1,1,1,193,64.06,0.06
ogbn-arxiv,90,1e-2,2,0,0,98,65.32,0.14
ogbn-arxiv,90,1e-2,2,0,1,186,65.21,0.06
ogbn-arxiv,90,1e-2,2,1,0,197,64.47,0.69
ogbn-arxiv,90,1e-2,2,1,1,198,63.90,0.13
ogbn-arxiv,90,1e-2,3,0,0,113,64.92,0.14
ogbn-arxiv,90,1e-2,3,0,1,186,64.93,0.09
ogbn-arxiv,90,1e-2,3,1,0,197,61.99,0.71
ogbn-arxiv,90,1e-2,3,1,1,176,60.76,0.59
ogbn-arxiv,90,1e-2,4,0,0,178,64.43,0.03
ogbn-arxiv,90,1e-2,4,0,1,186,64.37,0.11
ogbn-arxiv,90,1e-2,4,1,0,200,59.04,1.64
ogbn-arxiv,90,1e-2,4,1,1,199,54.79,2.78
ogbn-arxiv,90,1e-1,1,0,0,115,64.08,0.08
ogbn-arxiv,90,1e-1,1,0,1,86,63.87,0.06
ogbn-arxiv,90,1e-1,1,1,0,146,63.84,0.16
ogbn-arxiv,90,1e-1,1,1,1,183,63.83,0.13
ogbn-arxiv,90,1e-1,2,0,0,88,65.46,0.29
